_index_,mClass,gpt_q,user_q,files
58,道路交通管理處罰條例,未依規定兒童安全座椅,未使用兒童安全座椅會受到什麼處罰？,道路交通管理處罰條例第31條
59,道路交通管理處罰條例,行車未保持距離,未保持安全車距會被罰多少？,道路交通管理處罰條例第94條
60,道路交通管理處罰條例,違規變換車道,任意變換車道的處罰規定？,道路交通管理處罰條例第45條
61,道路交通管理處罰條例,駕照扣點,違規記點達多少會被吊銷駕照？,道路交通管理處罰條例第63條
62,道路交通管理處罰條例,未繫安全帶,開車未繫安全帶會被罰多少？,道路交通管理處罰條例第31條
63,道路交通管理處罰條例,危險駕駛,蛇行、爭道等危險駕駛行為的處罰？,道路交通管理處罰條例第43條
64,道路交通管理處罰條例,違規超車,違規超車的處罰規定？,道路交通管理處罰條例第47條
65,毒性及關注化學物質管理法,運送許可,運送毒性化學物質需要什麼許可文件？,毒性及關注化學物質管理法第13條
66,毒性及關注化學物質管理法,事故通報,發生毒化物事故要如何緊急通報？,毒性及關注化學物質管理法第42條
67,毒性及關注化學物質管理法,專業技術管理人員,毒性化學物質作業場所需要配置哪些專業人員？,毒性及關注化學物質管理法第18條
68,毒性及關注化學物質管理法,標示規定,毒性化學物質的容器要如何標示？,毒性及關注化學物質管理法第17條
69,毒性及關注化學物質管理法,許可登記,使用毒性化學物質需要申請哪些許可？,毒性及關注化學物質管理法第13條
70,毒性及關注化學物質管理法,運作紀錄,毒化物運作紀錄要如何製作與保存？,毒性及關注化學物質管理法第11條
71,毒性及關注化學物質管理法,應變器材,毒化物作業場所應設置哪些應變器材？,毒性及關注化學物質管理法第19條
72,毒性及關注化學物質管理法,環境檢測,作業環境中毒化物濃度要如何監測？,毒性及關注化學物質管理法第20條
73,毒性及關注化學物質管理法,洩漏處理,毒化物洩漏時應採取哪些緊急措施？,毒性及關注化學物質管理法第24條
74,毒性及關注化學物質管理法,運作場所,毒化物作業場所的設置規定有哪些？,毒性及關注化學物質管理法第10條
75,毒性及關注化學物質管理法,違規處罰,違反毒化物管理規定會受到什麼處罰？,毒性及關注化學物質管理法第44條
76,毒性及關注化學物質管理法,教育訓練,從事毒化物作業要接受哪些教育訓練？,毒性及關注化學物質管理法第16條
77,毒性及關注化學物質管理法,運送方式,毒化物運送時需要採取哪些安全措施？,毒性及關注化學物質管理法第14條
78,毒性及關注化學物質管理法,保險制度,經營毒化物需要投保哪些保險？,毒性及關注化學物質管理法第15條
79,毒性及關注化學物質管理法,申報規定,毒化物運作量要如何申報？,毒性及關注化學物質管理法第12條
